term,coef,std_err,t,p_value,ci_2.5%,ci_97.5%,std_beta
const,8.4274,0.6352,13.2681,0.0,7.1812,9.6736,
daily_social_media_hours,0.4246,0.0345,12.3218,0.0,0.357,0.4923,0.3662
sleep_hours,-0.5262,0.057,-9.2319,0.0,-0.638,-0.4144,-0.2776
screen_time_before_sleep_min,0.0001,0.0015,0.0431,0.9656,-0.0028,0.003,0.0012
physical_activity_hrs_week,-0.1336,0.0143,-9.3689,0.0,-0.1616,-0.1056,-0.1985
social_interaction_level,-0.1529,0.0217,-7.0366,0.0,-0.1955,-0.1102,-0.1513
age,0.0264,0.0198,1.333,0.1828,-0.0124,0.0652,0.028
gender_Male,0.0017,0.0685,0.0243,0.9806,-0.1327,0.136,0.0005
gender_Non-binary,-0.4251,0.2157,-1.9707,0.049,-0.8483,-0.0019,-0.0417
primary_platform_Other,0.212,0.1304,1.6256,0.1043,-0.0439,0.4678,0.0372
primary_platform_Snapchat,0.1975,0.1019,1.9378,0.0529,-0.0025,0.3975,0.0467
primary_platform_TikTok,0.113,0.0886,1.2753,0.2025,-0.0608,0.2868,0.0322
primary_platform_YouTube,0.1047,0.1097,0.9551,0.3397,-0.1104,0.3199,0.0226
